arm,seed,K,params_per_class,acc3,f1_3,auc3,anomaly_auc,open_axion,open_cdm,open_no_sub,open_mean
maha,42,4,0,0.5484363978368211,0.5161487622999372,0.9128449800468083,0.8587022553235932,0.42366764857070427,0.6738586474064012,0.5926442354328124,0.5633901771366393
matched,42,4,76,0.3506936280272749,0.34956674079315714,0.5326755432706162,0.49578500899210065,0.47302555794380546,0.5091737124848337,0.5537756130759369,0.5119916278348587
sham,42,4,2308,0.4091229720197508,0.4093227438229292,0.5930117057631393,0.5711567563480078,0.5071499493758289,0.5256645516494083,0.5260106777127616,0.5196083929126663
quantum,42,4,72,0.30166940982835644,0.2995068222322169,0.4698684674367222,0.4383455836435812,0.501485668818538,0.5081713367468669,0.4109877798545334,0.47354826180664605
